,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
19,857205.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2017,Gasolina,023151-7,janeiro de 2022 ,G
20,790402.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2016,Gasolina,023151-7,janeiro de 2022 ,G
21,884121.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2019,Gasolina,023151-7,dezembro de 2021 ,G
22,850402.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2017,Gasolina,023151-7,dezembro de 2021 ,G
23,784129.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2016,Gasolina,023151-7,dezembro de 2021 ,G
24,881049.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2019,Gasolina,023151-7,novembro de 2021 ,G
25,847447.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2017,Gasolina,023151-7,novembro de 2021 ,G
26,781404.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2016,Gasolina,023151-7,novembro de 2021 ,G
27,877988.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2019,Gasolina,023151-7,outubro de 2021 ,G
28,844502.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2017,Gasolina,023151-7,outubro de 2021 ,G
29,778689.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2016,Gasolina,023151-7,outubro de 2021 ,G
30,865120.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2019,Gasolina,023151-7,setembro de 2021 ,G
31,832125.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2017,Gasolina,023151-7,setembro de 2021 ,G
32,767276.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2016,Gasolina,023151-7,setembro de 2021 ,G
33,808255.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2019,Gasolina,023151-7,agosto de 2021 ,G
34,780223.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2017,Gasolina,023151-7,agosto de 2021 ,G
