,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
17,186270.0,JAC,iEV 40 115cv 5p. (Elétrico),2022,Gasolina,080022-8,março de 2022 ,G
18,173265.0,JAC,iEV 40 115cv 5p. (Elétrico),2021,Gasolina,080022-8,março de 2022 ,G
19,165000.0,JAC,iEV 40 115cv 5p. (Elétrico),2020,Gasolina,080022-8,março de 2022 ,G
20,192646.0,JAC,iEV 40 115cv 5p. (Elétrico),32000,Gasolina,080022-8,fevereiro de 2022 ,G
21,184792.0,JAC,iEV 40 115cv 5p. (Elétrico),2022,Gasolina,080022-8,fevereiro de 2022 ,G
22,170415.0,JAC,iEV 40 115cv 5p. (Elétrico),2021,Gasolina,080022-8,fevereiro de 2022 ,G
23,165741.0,JAC,iEV 40 115cv 5p. (Elétrico),2020,Gasolina,080022-8,fevereiro de 2022 ,G
24,191265.0,JAC,iEV 40 115cv 5p. (Elétrico),32000,Gasolina,080022-8,janeiro de 2022 ,G
25,183326.0,JAC,iEV 40 115cv 5p. (Elétrico),2022,Gasolina,080022-8,janeiro de 2022 ,G
26,172198.0,JAC,iEV 40 115cv 5p. (Elétrico),2021,Gasolina,080022-8,janeiro de 2022 ,G
27,167198.0,JAC,iEV 40 115cv 5p. (Elétrico),2020,Gasolina,080022-8,janeiro de 2022 ,G
28,190480.0,JAC,iEV 40 115cv 5p. (Elétrico),32000,Gasolina,080022-8,dezembro de 2021 ,G
29,182279.0,JAC,iEV 40 115cv 5p. (Elétrico),2022,Gasolina,080022-8,dezembro de 2021 ,G
30,175534.0,JAC,iEV 40 115cv 5p. (Elétrico),2021,Gasolina,080022-8,dezembro de 2021 ,G
31,168077.0,JAC,iEV 40 115cv 5p. (Elétrico),2020,Gasolina,080022-8,dezembro de 2021 ,G
32,190596.0,JAC,iEV 40 115cv 5p. (Elétrico),32000,Gasolina,080022-8,novembro de 2021 ,G
33,181646.0,JAC,iEV 40 115cv 5p. (Elétrico),2022,Gasolina,080022-8,novembro de 2021 ,G
34,172230.0,JAC,iEV 40 115cv 5p. (Elétrico),2021,Gasolina,080022-8,novembro de 2021 ,G
35,166732.0,JAC,iEV 40 115cv 5p. (Elétrico),2020,Gasolina,080022-8,novembro de 2021 ,G
36,189041.0,JAC,iEV 40 115cv 5p. (Elétrico),32000,Gasolina,080022-8,outubro de 2021 ,G
37,181015.0,JAC,iEV 40 115cv 5p. (Elétrico),2022,Gasolina,080022-8,outubro de 2021 ,G
38,168978.0,JAC,iEV 40 115cv 5p. (Elétrico),2021,Gasolina,080022-8,outubro de 2021 ,G
39,162757.0,JAC,iEV 40 115cv 5p. (Elétrico),2020,Gasolina,080022-8,outubro de 2021 ,G
40,215326.0,JAC,iEV 40 115cv 5p. (Elétrico),32000,Gasolina,080022-8,setembro de 2021 ,G
41,192125.0,JAC,iEV 40 115cv 5p. (Elétrico),2022,Gasolina,080022-8,setembro de 2021 ,G
42,171365.0,JAC,iEV 40 115cv 5p. (Elétrico),2021,Gasolina,080022-8,setembro de 2021 ,G
43,163791.0,JAC,iEV 40 115cv 5p. (Elétrico),2020,Gasolina,080022-8,setembro de 2021 ,G
44,219894.0,JAC,iEV 40 115cv 5p. (Elétrico),32000,Gasolina,080022-8,agosto de 2021 ,G
45,196302.0,JAC,iEV 40 115cv 5p. (Elétrico),2022,Gasolina,080022-8,agosto de 2021 ,G
46,171200.0,JAC,iEV 40 115cv 5p. (Elétrico),2021,Gasolina,080022-8,agosto de 2021 ,G
